
dépecer Subjonctif Plus-que-parfait,que j'eusse dépecé,que tu eusses dépecé,qu'il eût dépecé,que nous eussions dépecé,que vous eussiez dépecé,qu'ils eussent dépecé
dépecer Passé simple,je dépeçai,tu dépeças,il dépeça,nous dépeçâmes,vous dépeçâtes,ils dépecèrent
dépecer Passé Antérieur,j'eus dépecé,tu eus dépecé,il eut dépecé,nous eûmes dépecé,vous eûtes dépecé,ils eurent dépecé
dépecer Impératif Présent,,tu dép[eè]ce,,nous dépeçons,vous dépecez,
dépecer Infinitif Présent,je dépecer,tu dépecer,il dépecer,nous dépecer,vous dépecer,ils dépecer
dépecer Participe Présent,je dépeçant,tu dépeçant,il dépeçant,nous dépeçant,vous dépeçant,ils dépeçant
dépecer Participe Passé,je dépecé,tu dépecé,il dépecé,nous dépecé,vous dépecé,ils dépecé

envoyer Présent,j'envoie,tu envoies,il envoie,nous envoyons,vous envoyez,ils envoient
envoyer Passé Composé,j'ai envoyé,tu as envoyé,il a envoyé,nous avons envoyé,vous avez envoyé,ils ont envoyé
envoyer Imparfait,j'envoyais,tu envoyais,il envoyait,nous envoyions,vous envoyiez,ils envoyaient
envoyer Plus-que-parfait,j'avais envoyé,tu avais envoyé,il avait envoyé,nous avions envoyé,vous aviez envoyé,ils avaient envoyé
envoyer Futur Simple,j'enverrai,tu enverras,il enverra,nous enverrons,vous enverrez,ils enverront
envoyer Futur Antérieur,j'aurai envoyé,tu auras envoyé,il aura envoyé,nous aurons envoyé,vous aurez envoyé,ils auront envoyé
envoyer Conditionnel Présent,j'enverrais,tu enverrais,il enverrait,nous enverrions,vous enverriez,ils enverraient
envoyer Conditionnel Passé,j'aurais envoyé,tu aurais envoyé,il aurait envoyé,nous aurions envoyé,vous auriez envoyé,ils auraient envoyé
envoyer Subjonctif Présent,que j'envoie,que tu envoies,qu'il envoie,que nous envoyions,que vous envoyiez,qu'ils envoient
envoyer Subjonctif Passé,que j'aie envoyé,que tu aies envoyé,qu'il ait envoyé,que nous ayons envoyé,que vous ayez envoyé,qu'ils aient envoyé
envoyer Subjonctif Imparfait,que j'envoyasse,que tu envoyasses,qu'il envoyât,que nous envoyassions,que vous envoyassiez,qu'ils envoyassent
envoyer Subjonctif Plus-que-parfait,que j'eusse envoyé,que tu eusses envoyé,qu'il eût envoyé,que nous eussions envoyé,que vous eussiez envoyé,qu'ils eussent envoyé
envoyer Passé simple,j'envoyai,tu envoyas,il envoya,nous envoyâmes,vous envoyâtes,ils envoyèrent
